中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,15 ms,7 Mbps,953 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,16 ms,54 Mbps,6930 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,51 ms,392 Mbps,50278 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,58 ms,302 Mbps,38707 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,96 ms,42 Mbps,5394 kB/s
143.47.185.70,443,2606:f240:f00:5a42:0:1013:c00d:82e,US,Frankfurt,隧道,105 ms,118 Mbps,15155 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,111 ms,51 Mbps,6577 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,147 ms,36 Mbps,4724 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,111 ms,48 Mbps,6269 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,151 ms,46 Mbps,5985 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,146 ms,47 Mbps,6130 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,194 ms,10 Mbps,1405 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,195 ms,34 Mbps,4471 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,195 ms,37 Mbps,4861 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,206 ms,38 Mbps,4880 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,209 ms,32 Mbps,4134 kB/s
