中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
192.9.139.160,443,192.9.139.160,US,San Jose,中转,46 ms,471 Mbps,60313 kB/s,60313.0
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,50 ms,429 Mbps,54988 kB/s,54988.0
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,62 ms,216 Mbps,27648 kB/s,27648.0
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,202 ms,84 Mbps,10752 kB/s,10752.0
193.122.114.82,443,2603:c022:800d:d100::aaaa,KR,Seoul,隧道,210 ms,78 Mbps,10035 kB/s,10035.0
141.147.114.60,443,141.147.114.60,GB,London,中转,92 ms,50 Mbps,6446 kB/s,6446.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,102 ms,47 Mbps,6071 kB/s,6071.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,112 ms,45 Mbps,5874 kB/s,5874.0
158.101.80.84,443,158.101.80.84,JP,Tokyo,中转,147 ms,45 Mbps,5847 kB/s,5847.0
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,141 ms,44 Mbps,5714 kB/s,5714.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,146 ms,42 Mbps,5383 kB/s,5383.0
141.147.185.15,443,141.147.185.15,JP,Tokyo,中转,153 ms,41 Mbps,5288 kB/s,5288.0
155.248.181.189,443,155.248.181.189,JP,Tokyo,中转,147 ms,41 Mbps,5260 kB/s,5260.0
141.147.185.63,443,141.147.185.63,JP,Tokyo,中转,149 ms,41 Mbps,5258 kB/s,5258.0
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,169 ms,40 Mbps,5247 kB/s,5247.0
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,178 ms,40 Mbps,5125 kB/s,5125.0
193.123.81.105,443,193.123.81.105,AE,Dubai,中转,208 ms,39 Mbps,5108 kB/s,5108.0
152.67.125.161,443,152.67.125.161,AU,Sydney,中转,199 ms,39 Mbps,5086 kB/s,5086.0
152.67.125.174,443,152.67.125.174,AU,Sydney,中转,201 ms,39 Mbps,5040 kB/s,5040.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,146 ms,38 Mbps,4989 kB/s,4989.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,215 ms,38 Mbps,4974 kB/s,4974.0
141.147.147.180,443,141.147.147.180,JP,Osaka,中转,161 ms,38 Mbps,4883 kB/s,4883.0
130.162.130.105,443,130.162.130.105,KR,Seoul,中转,203 ms,37 Mbps,4808 kB/s,4808.0
8.220.134.136,443,8.220.134.136,PH,Singapore,中转,272 ms,37 Mbps,4787 kB/s,4787.0
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,24 ms,35 Mbps,4497 kB/s,4497.0
152.67.99.162,443,152.67.99.162,AU,Sydney,中转,207 ms,33 Mbps,4305 kB/s,4305.0
129.154.194.191,443,2603:c022:8009:d11a:f03b:62fe:feec:f0e1,KR,Seoul,隧道,203 ms,33 Mbps,4228 kB/s,4228.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,16 ms,5 Mbps,652 kB/s,652.0
